"id";"title";"year";"depth";"priority";"horizontalDepth";"citingFilled";"residential_mobility_census_UK";"urban_migration_housing_market_UK";"residential_mobility";"residential_mobility_UK";"internal_migration";"internal_migration_market_UK";"housing_market_mobility_UK";"internal_migration_census_UK";"urban_migration";"internal_migration_housing";"internal_migration_UK"
"6615203113249854028";"What's in a settlement? Domestic practice and residential mobility in Early Bronze Age southern England";"2012";"0";"2147483647";"residential_mobility_UK:4";"false";"NA";"NA";"NA";"4";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"1162298963665540392";"Spatial aspects of labour mobility in the 1980s";"1989";"0";"2147483647";"urban_migration_housing_market_UK:86,housing_market_mobility_UK:28";"false";"NA";"86";"NA";"NA";"NA";"NA";"28";"NA";"NA";"NA";"NA"
"12063798413614936354";"Residential mobility and neighborhood change: Real neighborhoods under the microscope";"2012";"0";"2147483647";"residential_mobility:91";"false";"NA";"NA";"91";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"12775872370031238272";"Determinants of urban migration: Evidence from Chinese cities";"2002";"0";"2147483647";"urban_migration:64";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"64";"NA";"NA"
"16312078491663320687";"Housing factors in welfare migration to and from metropolitan cities in Australia";"2007";"0";"2147483647";"internal_migration_housing:61";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"61";"NA"
"12666500283572387232";"Family life course transitions and the economic consequences of internal migration";"2008";"0";"2147483647";"internal_migration_housing:31";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"31";"NA"
"17568534530536944599";"Residential mobility during pregnancy: implications for environmental teratogenesis";"1988";"0";"2147483647";"residential_mobility:67,residential_mobility_UK:51";"false";"NA";"NA";"67";"51";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"490216979920051929";"Rural-urban migration in Colombia";"1971";"0";"2147483647";"urban_migration:9";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"9";"NA";"NA"
"17464045944684072735";"Urbanization and rural-urban migration in China since 1982: a new baseline";"1994";"0";"2147483647";"urban_migration:44";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"44";"NA";"NA"
"4040801658197612453";"Intra-urban residential mobility: a review and synthesis";"1977";"0";"2147483647";"residential_mobility_census_UK:10,residential_mobility:8,residential_mobility_UK:40";"false";"10";"NA";"8";"40";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
