"id";"title";"year";"depth";"priority";"horizontalDepth";"citingFilled";"residential_mobility_census_UK";"residential_mobility";"urban_migration_housing_market_UK";"residential_mobility_UK";"internal_migration";"internal_migration_market_UK";"housing_market_mobility_UK";"internal_migration_census_UK";"urban_migration";"internal_migration_UK";"internal_migration_housing"
"17491324293401123326";"Now there is no land: a story of ethnic migration in a protected area landscape in western Uganda";"2015";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"8369762960853446779";" Theories of migration: A review";"2013";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"6520079557224401629";"Occupational change in mid-career: An exploratory investigation";"1980";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"8945583641525909203";"Theorizing migration in anthropology: The social construction of networks, identities, communities, and globalscapes";"2013";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"9639378820487916342";" 日本の人口移動: 戦後における人口の地域分布変動と地域間移動";"1996";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"17568534530536944599";"Residential mobility during pregnancy: implications for environmental teratogenesis";"1988";"2";"10";"residential_mobility:67,residential_mobility_UK:51";"false";"NA";"67";"NA";"51";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"490216979920051929";"Rural-urban migration in Colombia";"1971";"2";"10";"urban_migration:9";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"9";"NA";"NA"
"9693678588742867152";"An economic analysis of return migration";"1996";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"2663872280903338179";"A study of rural migration in central Wales";"1965";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"17378614012681165679";" Latino migrants in the Jewish state: Undocumented lives in Israel";"2010";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"10561170623378313357";"The European crisis and migration to Germany: expectations and the diversion of migration flows";"2013";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"2945242137234313300";"Wealth accumulation of black and white men: The case of housing equity";"1982";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"8762113058434052992";"The dilemmas of policy towards return migration. The case of Poland after the EU Accession";"2013";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"7480737971986487313";"On the interaction of mobility dimensions in theory on migration decisions";"1975";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"7503721629239316569";"Theories of international migration";"2017";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"13749591748128969441";" Globalization and the Mexican-Canadian seasonal agricultural worker program: Power, racialization & transnationalism in temporary migration";"2006";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"9668878595086098084";" The urban experience";"1976";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"5136812290096040057";"Healthy migrant and salmon bias hypotheses: a study of health and internal migration in China";"2014";"2";"10";"internal_migration:78";"false";"NA";"NA";"NA";"NA";"78";"NA";"NA";"NA";"NA";"NA";"NA"
"4861127279507702397";" Morocco's migration transition: trends, determinants and future scenarios";"2005";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"16337070547857415621";"Rural-urban migration in the second half of the 20th century in Serbia";"2015";"0";"2147483647";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"14867690586583922151";"Agent-based model to rural–urban migration analysis";"2006";"2";"10";"urban_migration:87";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"87";"NA";"NA"
"12861342080349472031";"Transnationale Mobilität: Konzeption und Fallbeispiel";"2003";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"18281594406045412256";" Ethnicity in contemporary America: A geographical appraisal";"2000";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"6081710727805231734";"Locating Chinese urban housing policy in an international context";"2010";"2";"10";"urban_migration_housing_market_UK:75";"false";"NA";"NA";"75";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"3886621527556789431";" Immigration and the politics of American sovereignty, 1890-1990";"2009";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"12254555599329340577";"Migration flows in Finland: Regional differences in migration determinants and migrant types";"2003";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"9284126794060309982";"A study of internal migration in England and Wales: Part I";"1966";"2";"10";"internal_migration:60,internal_migration_census_UK:3,internal_migration_UK:3";"false";"NA";"NA";"NA";"NA";"60";"NA";"NA";"3";"NA";"3";"NA"
"3491146259416413204";" Managing labour migration in Europe: Ideas, knowledge and policy change";"2013";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"15442232634991191171";" 就业替代与劳动力流动: 一个新的分析框架";"2003";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"2032595138376608360";" The West European city: a social geography";"1984";"2";"10";"urban_migration_housing_market_UK:22";"false";"NA";"NA";"22";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"16824167506317355790";" Foreign media and the desire to emigrate from Belize";"1991";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"7448692645841216369";" The microeconomic determinants of emigration and return migration of the best and brightest: Evidence from the Pacific";"2009";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"14816617165199374584";" Suburban life styles: a contribution to the debate";"1973";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"12553251197189880031";"Migrant selectivity, urbanization, and industrial revolutions";"1988";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"61093635834171547";"Some longitudinal data on internal migration";"1965";"2";"10";"internal_migration_census_UK:34,internal_migration_UK:97";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"34";"NA";"97";"NA"
"975861045265835441";"Escape às origens e trajetórias de estrangeiros em João Pessoa";"2014";"0";"2147483647";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"18117652730519912446";"Neighborhood selection and the social reproduction of concentrated racial inequality";"2008";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"13226378861054568066";"Transnational trafficking, law enforcement, and victim protection: A middleman trafficker's perspective";"2014";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"12223973976706089598";"Incidence and direction of residential mobility in a Minneapolis sample";"1949";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"6821870823570768711";"The residential mobility experiences of marginalized populations";"1994";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"5194805656263161432";"Tied down or room to move? Investigating the relationships between housing tenure, employment status and residential mobility in Britain";"2002";"2";"10";"residential_mobility_census_UK:1,urban_migration_housing_market_UK:11,residential_mobility:79,residential_mobility_UK:0,internal_migration_market_UK:57,housing_market_mobility_UK:3";"false";"1";"79";"11";"0";"NA";"57";"3";"NA";"NA";"NA";"NA"
"7196859198829801197";"US Investment and Immigration from the Caribbean";"1987";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"12979037157340633738";" Migración interna y desarrollo en América Latina entre 1980 y 2005: un estudio comparativo con perspectiva regional basado en siete países";"2009";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"12155484051730119875";" Clandestinos Migración México-Estados Unidos en los albores del siglo XXI";"2003";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
