id	title	year	depth	priority	horizontalDepth	citingFilled	residential_mobility_census_UK	urban_migration_housing_market_UK	residential_mobility	residential_mobility_UK	internal_migration	internal_migration_market_UK	housing_market_mobility_UK	internal_migration_census_UK	urban_migration	internal_migration_housing	internal_migration_UK
1.09026E+19	Locational behaviour of households in a constrained housing market	1982	0	2147483647	urban_migration_housing_market_UK:59	FALSE	NA	59	NA	NA	NA	NA	NA	NA	NA	NA	NA
5.96203E+18	 Urban China	2013	0	2147483647	urban_migration_housing_market_UK:69	FALSE	NA	69	NA	NA	NA	NA	NA	NA	NA	NA	NA
2.48049E+18	Environmental upgrading and intra-urban migration in Calcutta	1989	0	2147483647	urban_migration_housing_market_UK:77	FALSE	NA	77	NA	NA	NA	NA	NA	NA	NA	NA	NA
2.27708E+18	Recent urban policy in Nigeria: Housing rent edict in the Cross River State	1981	0	2147483647	urban_migration_housing_market_UK:95	FALSE	NA	95	NA	NA	NA	NA	NA	NA	NA	NA	NA
7.63992E+18	Residential mobility and child mortality in early twentieth century Belfast	2016	0	2147483647	residential_mobility_census_UK:12	FALSE	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1.79908E+19	 Migration and residential mobility in the United States	1988	0	2147483647	"residential_mobility_census_UK:21,residential_mobility:17,residential_mobility_UK:41"	FALSE	21	NA	17	41	NA	NA	NA	NA	NA	NA	NA
5.07E+18	"Movers and stayers: The geography of residential mobility and CVD hospitalisations in Auckland, New Zealand"	2015	0	2147483647	residential_mobility_census_UK:33	FALSE	33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1.04702E+18	Schizophrenia in Nottingham: lifelong residential mobility of a cohort	1993	0	2147483647	"residential_mobility_census_UK:37,residential_mobility_UK:68"	FALSE	37	NA	NA	68	NA	NA	NA	NA	NA	NA	NA
3.22101E+17	Factors associated with residential mobility in children with leukemia: implications for assigning exposures	2009	0	2147483647	"residential_mobility_census_UK:38,residential_mobility_UK:79"	FALSE	38	NA	NA	79	NA	NA	NA	NA	NA	NA	NA
1.0122E+19	The structural determinants of fear of crime: An analysis using census and crime survey data from England and Wales	1994	0	2147483647	residential_mobility_census_UK:46	FALSE	46	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6.8043E+18	Residential mobility of aboriginal single mothers in Winnipeg: An exploratory study of chronic moving	2002	0	2147483647	residential_mobility_census_UK:62	FALSE	62	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
